"id"	"class_anki"	"sbs_class"	"sbs_category"	"sbs_patimokkha"	"sbs_meaning"	"sbs_notes"	"sbs_source_1"	"sbs_sutta_1"	"sbs_example_1"	"sbs_chant_pali_1"	"sbs_chant_eng_1"	"sbs_chapter_1"	"sbs_source_2"	"sbs_sutta_2"	"sbs_example_2"	"sbs_chant_pali_2"	"sbs_chant_eng_2"	"sbs_chapter_2"	"sbs_source_3"	"sbs_sutta_3"	"sbs_example_3"	"sbs_chant_pali_3"	"sbs_chant_eng_3"	"sbs_chapter_3"	"sbs_source_4"	"sbs_sutta_4"	"sbs_example_4"	"sbs_chant_pali_4"	"sbs_chant_eng_4"	"sbs_chapter_4"	"sbs_index"
"65056"	"20"	"19"	""	""	""	""	""	""	""	""	""	""	"AN10.176"	"cundasuttaṃ"	"brāhmaṇā, bhante, pacchābhūmakā kamaṇḍalukā <b>sevālamālikā</b> aggiparicārikā udak'orohakā soceyyāni paññapenti, tes'āhaṃ soceyyāni rocemī'ti"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"65062"	"33"	"11"	""	""	""	""	""	""	""	""	""	""	"SN55.41"	"paṭhamaabhisandasuttaṃ"	"mah'odadhiṃ aparimitaṃ mahāsaraṃ,
bahubheravaṃ ratanagaṇānam'ālayaṃ,
najjo yathā naragaṇasaṅgha<b>sevitā</b>,
puthū savantī upayanti sāgaraṃ."	""	""	""	"SN35.246"	"vīṇopamasuttaṃ"	"sabhayo c'eso maggo sappaṭibhayo ca sakaṇṭako ca sagahano ca ummaggo ca kummaggo ca duhitiko ca. asappurisa<b>sevito</b> c'eso maggo, na c'eso maggo sappurisehi <b>sevito</b>."	""	""	""	""	""	""	""	""	""	""
"65067"	"14"	"14"	"sn47"	""	""	""	"SN56.11"	"dhammacakkappavattanasuttaṃ"	"dve'me, bhikkhave, antā pabbajitena na <b>sevitabbā</b>."	"Dhamma-cakkappavattana"	"Setting in Motion The Wheel of Dhamma"	"Teachings"	"SN47.19"	"sedakasuttaṃ"	"attānaṃ, bhikkhave, rakkhissāmī'ti satipaṭṭhānaṃ <b>sevitabbaṃ</b>, paraṃ rakkhissāmī'ti satipaṭṭhānaṃ <b>sevitabbaṃ</b>. attānaṃ, bhikkhave, rakkhanto paraṃ rakkhati, paraṃ rakkhanto attānaṃ rakkhati."	""	""	""	"MN46"	"mahādhammasamādānasuttaṃ"	"<b>sevitabbe</b> dhamme na jānāti asevitabbe dhamme na jānāti, bhajitabbe dhamme na jānāti abhajitabbe dhamme na jānāti."	""	""	""	""	""	""	""	""	""	"18"
"65077"	""	"5"	""	""	""	""	"SNP38"	"dvayatānupassanāsuttaṃ"	"ārogyaṃ samma'd'aññāya,
āsavānaṃ parikkhayā,
saṅkhāya <b>sevī</b> dhammaṭṭho,
saṅkhyaṃ n'opeti vedagū'ti."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"65078"	""	""	""	""	""	""	"SN1.20"	"samiddhisuttaṃ"	"pāpaṃ na kayirā vacasā manasā,
kāyena vā kiñcana sabbaloke,
kāme pahāya satimā sampajāno,
dukkhaṃ na <b>sevetha</b> anatthasaṃhitan'ti."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"65079"	"31"	""	""	""	""	""	"DHP136"	"daṇḍavaggo"	"atha pāpāni kammāni,
karaṃ bālo na bujjhati,
<b>sehi</b> kammehi dummedho,
aggidaḍḍho'va tappati."	""	""	""	"APA67"	"bhisadāyaka therāpadānaṃ"	"bhisamuḷālaṃ gaṇhitvā,
agamaṃ buddhasantikaṃ,
tañ'ca buddhassa pādāsiṃ,
pasanno <b>sehi</b> pāṇibhi."	""	""	""	"SNP6"	"parābhavasuttaṃ
uragavaggo 6"	"<b>sehi</b> dārehi asantuṭṭho,
vesiyāsu padussati,
dussati paradāresu,
taṃ parābhavato mukhaṃ."	""	""	""	""	""	""	""	""	""	""
"65082"	"6"	""	"mn107"	""	""	""	"SN11.3"	"dhajaggasuttaṃ"	"iti'pi <b>so</b> bhagavā arahaṃ sammāsambuddho vijjācaraṇasampanno sugato lokavidū anuttaro purisadammasārathi satthā devamanussānaṃ buddho bhagavā'ti"	"Buddha-dhamma-saṅgha-guṇā"	""	"Protective Recitations"	"AN5.37"	"bhojanasuttaṃ"	"āyudo balado dhīro, vaṇṇado paṭibhānado. sukhassa dātā medhāvī, sukhaṃ <b>so</b> adhigacchati. āyuṃ datvā balaṃ vaṇṇaṃ, sukhañ'ca paṭibhānakaṃ, dīgh'āyu yasavā hoti, yattha yatth'ūpapajjatī'ti."	"Bhojana-dānānumodanā"	""	"Thanksgiving Recitations"	"MN40"	"cūḷāssapurasuttaṃ"	"<b>so</b> sabbehi imehi pāpakehi akusalehi dhammehi visuddham'attānaṃ samanupassati, vimuttam'attānaṃ samanupassati."	""	""	""	"DHP269"	"dhammaṭṭhavaggo"	"pāpāni parivajjeti,
sa munī tena <b>so</b> muni,
yo munāti ubho loke,
muni tena pavuccati."	""	""	""	"44"
"65083"	"32"	"13"	"mn107"	""	""	""	"MN107"	"gaṇakamoggallānasuttaṃ"	"<b>so</b> imam'eva kāyaṃ vivekajena pītisukhena abhisandeti parisandeti paripūreti parippharati, n'āssa kiñci sabbāvato kāyassa vivekajena pītisukhena apphuṭaṃ hoti"	"Anupubba-sikkhā"	"The Gradual Training"	"Teachings"	"AN4.67"	"ahirājasuttaṃ"	"katā me rakkhā katā me parittā, paṭikkamantu bhūtāni.
<b>so</b>'haṃ namo bhagavato, namo sattannaṃ sammāsambuddhānaṃ"	"Khandha-parittaṃ"	""	"Protective Recitations"	"AN9.37"	"ānandasuttaṃ"	"evaṃ vutte, <b>so</b>'haṃ, āvuso, jaṭilavāsikaṃ bhikkhuniṃ etadavocaṃ"	""	""	""	"MN39"	"mahāassapurasuttaṃ"	"<b>so</b>'mhi eta'r'ahi tamhā ābādhā mutto bhattañ'ca me chādeti"	""	""	""	"19"
"65084"	""	""	""	""	""	""	"SN22.57"	"sattaṭṭhānasuttaṃ"	"idha, bhikkhave, bhikkhu dhātu<b>so</b> upaparikkhati, āyatana<b>so</b> upaparikkhati, paṭiccasamuppāda<b>so</b> upaparikkhati. evaṃ kho, bhikkhave, bhikkhu tividh'ūpaparikkhī hoti."	""	""	""	"DHP265"	"dhammaṭṭha vaggo"	"yo ca sameti pāpāni, aṇuṃ thūlāni sabba<b>so</b>.
samitattā hi pāpānaṃ, samaṇo'ti pavuccati."	""	""	""	"AN10.44"	"kusinārasuttaṃ"	"ubhayāni kho pana me pātimokkhāni vitthārena svāgatāni honti suvibhattāni suppavattīni suvinicchitāni sutta<b>so</b> anubyañjana<b>so</b>."	""	""	""	""	""	""	""	""	""	""
"65088"	"2"	"2"	"sn56"	""	""	""	"VIBH4.1.1"	"dukkhasaccaṃ"	"aññatar'aññatarena byasanena samannāgatassa, aññatar'aññatarena dukkhadhammena phuṭṭhassa, <b>soko</b>, socanā, socitattaṃ, antosoko antoparisoko"	"Paṭicca-samuppāda"	"Dependent Origination"	"Teachings"	"SN35.28"	"ādittasuttaṃ"	"kena ādittaṃ? rāg'agginā, dos'agginā, moh'agginā ādittaṃ, jātiyā jarāya maraṇena <b>sokehi</b> paridevehi dukkhehi domanassehi upāyāsehi ādittan'ti vadāmi"	"Āditta-pariyāya-sutta"	"The Fire Sermon"	"Cardinal Suttas"	"DHP213"	"piyavaggo"	"pemato jāyatī <b>soko</b>,
pemato jāyatī bhayaṃ,
pemato vippamuttassa,
n'atthi <b>soko</b> kuto bhayaṃ."	""	""	""	"SNP59"	"mettagū māṇava pucchā
pārāyanavaggo 4"	"yaṃ taṃ apucchimha akittayī no,
aññaṃ taṃ pucchāma tadiṅgha brūhi,
kathaṃ nu dhīrā vitaranti oghaṃ,
jātiṃ jaraṃ <b>soka</b>pariddavañ'ca,
taṃ me muni sādhu viyākarohi,
tathā hi te vidito esa dhammo."	""	""	""	"24"
"65089"	"53"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"JA351"	"maṇikuṇḍala jātaka"	"jīno rath'assaṃ maṇikuṇḍale ca, putte ca dāre ca that'eva jīno.
sabbesu bhogesu asesitesu, kasmā na santappasi <b>sokakāle</b>."	""	""	""	""	""	""	""	""	""	""
"65094"	"11"	"19"	""	""	"dispeller of sorrow"	""	"SN6.2"	"gāravasuttaṃ"	"ye ca atītā sambuddhā, ye ca buddhā anāgatā.
yo c'eta'r'ahi sambuddho, bahunnaṃ <b>sokanāsano</b>."	"Dhamma-gārava"	"Respect for the Dhamma"	"Verses"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"8"
"65095"	"2"	"19"	"sn47"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"AN9.37"	"ānandasuttaṃ"	"acchariyaṃ, āvuso, abbhutaṃ, āvuso! yāvañ'c'idaṃ tena bhagavatā jānatā passatā arahatā sammāsambuddhena sambādhe okās'ādhigamo anubuddho sattānaṃ visuddhiyā <b>sokaparidevānaṃ</b> samatikkamāya dukkhadomanassānaṃ atthaṅ'gamāya ñāyassa adhigamāya nibbānassa sacchikiriyāya."	""	""	""	""	""	""	""	""	""	""
"65096"	""	""	"sn45"	""	""	""	"SN45.2"	"maggasaṃyuttaṃ, upaḍḍhasuttaṃ"	"maraṇadhammā sattā maraṇena parimuccanti, <b>sokaparidevadukkhadomanassupāyāsadhammā</b> sattā sokaparidevadukkhadomanassupāyāsehi parimuccanti."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"65098"	""	"19"	"sn56"	""	""	""	"SN56.42"	"papātasuttaṃ"	"soka-parideva-dukkha-domanass'upāyāsasaṃvattanike'pi saṅkhāre abhisaṅkharitvā .... <b>soka-parideva-dukkha-domanass'upāyāsapapātam</b>'pi papatanti."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"65100"	""	"19"	"sn56"	""	""	""	"SN56.42"	"papātasuttaṃ"	"te jātisaṃvattanikesu saṅkhāresu abhiramanti, jarāsaṃvattanikesu saṅkhāresu abhiramanti, maraṇasaṃvattanikesu saṅkhāresu abhiramanti, <b>soka-parideva-dukkha-domanass'upāyāsasaṃvattanikesu</b> saṅkhāresu abhiramanti."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"65101"	""	"19"	"sn12"	""	""	""	"SN56.11"	"dhammacakkappavattanasuttaṃ"	"jāti'pi dukkhā, jarā'pi dukkhā, maraṇam'pi dukkhaṃ, <b>soka-parideva-dukkha-domanass'upāyāsā</b>'pi dukkhā"	"Dhamma-cakkappavattana"	"Setting in Motion The Wheel of Dhamma"	"Teachings"	"AN5.30"	"nāgitasuttaṃ"	"piyānaṃ kho, nāgita, vipariṇām'aññathābhāvā uppajjanti <b>soka-parideva-dukkha-domanass'upāyāsā</b>, eso tassa nissando."	""	""	""	"MN38"	"mahātaṇhāsaṅkhayasuttaṃ"	"taṇhāpaccayā upādānaṃ, upādānapaccayā bhavo, bhavapaccayā jāti, jātipaccayā jarāmaraṇaṃ <b>soka-parideva-dukkha-domanass'upāyāsā</b> sambhavanti"	""	""	""	""	""	""	""	""	""	"18"
"65103"	""	"19"	""	""	""	""	"DHP195"	"buddhavaggo"	"pūj'ārahe pūjayato,
buddhe yadi va sāvake,
papañcasamatikkante,
tiṇṇa<b>sokapariddave</b>."	""	""	""	"SNP59"	"mettagū māṇava pucchā
pārāyanavaggo 4"	"yaṃ taṃ apucchimha akittayī no,
aññaṃ taṃ pucchāma tadiṅgha brūhi,
kathaṃ nu dhīrā vitaranti oghaṃ,
jātiṃ jaraṃ <b>sokapariddavañ</b>'ca,
taṃ me muni sādhu viyākarohi,
tathā hi te vidito esa dhammo."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
