"id"	"class_anki"	"sbs_class"	"sbs_category"	"sbs_patimokkha"	"sbs_meaning"	"sbs_notes"	"sbs_source_1"	"sbs_sutta_1"	"sbs_example_1"	"sbs_chant_pali_1"	"sbs_chant_eng_1"	"sbs_chapter_1"	"sbs_source_2"	"sbs_sutta_2"	"sbs_example_2"	"sbs_chant_pali_2"	"sbs_chant_eng_2"	"sbs_chapter_2"	"sbs_source_3"	"sbs_sutta_3"	"sbs_example_3"	"sbs_chant_pali_3"	"sbs_chant_eng_3"	"sbs_chapter_3"	"sbs_source_4"	"sbs_sutta_4"	"sbs_example_4"	"sbs_chant_pali_4"	"sbs_chant_eng_4"	"sbs_chapter_4"	"sbs_index"
"14571"	""	"7"	""	""	""	""	"MN91"	"brahmāyusuttaṃ"	"<b>uṇṇā</b> kho pan'assa bhoto gotamassa bhamuk'antare jātā odātā mudutūlasannibhā, idam'pi tassa bhoto gotamassa mahāpurisassa mahāpurisalakkhaṇaṃ bhavati."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"14581"	""	"11"	"sn12"	""	""	""	""	""	""	""	""	""	"MN36"	"mahāsaccakasuttaṃ"	"bhūtapubbaṃ, bho gotama, sārīrikāya dukkhāya vedanāya phuṭṭhassa sato ūrukkhambho'pi nāma bhavissati, hadayam'pi nāma phalissati, <b>uṇham</b>'pi lohitaṃ mukhato uggamissati, ummādam'pi pāpuṇissati cittakkhepaṃ."	""	""	""	"SN12.51"	"parivīmaṃsanasuttaṃ"	"seyyathā'pi, bhikkhave, puriso kumbhakārapākā <b>uṇhaṃ</b> kumbhaṃ uddharitvā same bhūmibhāge paṭisisseyya."	""	""	""	""	""	""	""	""	""	""
"14582"	"50"	"9"	""	""	""	""	"MN2.4"	"sabbāsavasuttaṃ"	"paṭisaṅkhā yoniso cīvaraṃ paṭisevāmi yāva'd'eva sītassa paṭighātāya <b>uṇhassa</b> paṭighātāya ḍaṃsamakasavāt'ātapasiriṃsapasamphassānaṃ paṭighātāya yāva'd'eva hirikopīnapaṭicchādan'atthaṃ"	"Cattaro parikkhāra"	"The Four Requisites"	"Reflections"	"TH174"	"mātaṅgaputtattheragāthā"	"yo ca sītañ'ca <b>uṇhañ</b>'ca,
tiṇā bhiyyo na maññati,
karaṃ purisakiccāni,
so sukhā na vihāyati."	""	""	""	"AN4.157"	"rogasuttaṃ"	"khamā bhavissāma sītassa <b>uṇhassa</b> jighacchāya pipāsāya ḍaṃsa-makasa-vāt'ātapa-sarīsapa-samphassānaṃ duruttānaṃ durāgatānaṃ vacanapathānaṃ"	""	""	""	"MN2.5"	"sabbāsavasuttaṃ"	"katame ca, bhikkhave, āsavā adhivāsanā pahātabbā? idha, bhikkhave, bhikkhu paṭisaṅkhā yoniso khamo hoti sītassa <b>uṇhassa</b>, jighacchāya pipāsāya"	""	""	""	"31"
"14586"	""	"19"	""	"pat"	""	""	"VIN PAT PC 57"	"nahānasikkhāpadaṃ"	"tatth'āyaṃ samayo diyaḍḍho māso seso gimhānan'ti vassānassa paṭhamo māso icc'ete aḍḍhateyyamāsā <b>uṇhasamayo</b>, pariḷāhasamayo, gilānasamayo, kammasamayo, addhānagamanasamayo, vātavuṭṭhisamayo"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"14590"	""	"9"	""	""	""	""	"MN91"	"brahmāyusuttaṃ"	"<b>uṇhīsa</b>sīso kho pana so bhavaṃ gotamo, idam'pi tassa bhoto gotamassa mahāpurisassa mahāpurisalakkhaṇaṃ bhavati."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"14592"	""	"19"	""	""	""	""	"MN91"	"brahmāyusuttaṃ"	"<b>uṇhīsasīso</b> kho pana so bhavaṃ gotamo, idam'pi tassa bhoto gotamassa mahāpurisassa mahāpurisalakkhaṇaṃ bhavati."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"14597"	""	"6"	""	""	""	""	"MN2"	"sabbāsavasuttaṃ"	"paṭisaṅkhā yoniso sen'āsanaṃ paṭisevati, yāva'd'eva sītassa paṭighātāya, uṇhassa paṭighātāya, ḍaṃsa-makasa-vāt'ātapa-sarīṃsapa-samphassānaṃ paṭighātāya, yāva'd'eva <b>utu</b>parissayavinodanapaṭisallān'ārām'atthaṃ"	"Cattaro parikkhāra"	"The Four Requisites"	"Reflections"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"31"
"14599"	"28"	"6"	"sn56"	""	""	""	"PAT PK"	"dhammayuttikapubbakicca"	"<b>utu</b>'kkhānañ'ca, bhikkhugaṇanā'ca, bhikkhunīnam'ovādo cā'ti."	"Pubbakicca"	"Preliminary duty"	"International Pātimokkha"	"SN56.38"	"dutiyasūriyasuttaṃ"	"andhatamaṃ tadā hoti andhakāratimisā. n'eva tāva rattindivā paññāyanti, na mās'addhamāsā paññāyanti, na <b>utu</b>saṃvaccharā paññāyanti."	""	""	""	"THI71"	"subhājīvakambavanikātherīgāthā"	"madhurañ'ca pavanti sabbaso,
kusumarajena samuṭṭhitā dumā,
paṭhamavasanto sukho <b>utu</b>,
ehi ramāma supupphite vane."	""	""	""	""	""	""	""	""	""	"75"
"14602"	""	""	""	""	""	""	"PAT PK"	"dhammayuttikapubbakicca"	"evaṃ <b>utuācikkhanaṃ</b>. utūn'īdha pana sāsane hem'anta-gimha-vassānānaṃ vasena tīṇi honti."	"Pubbakicca"	"Preliminary duty"	"International Pātimokkha"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"75"
"14605"	""	"19"	""	""	""	""	"PAT PK"	"dhammayuttikapubbakicca"	"<b>utu'kkhānañ</b>'ca, bhikkhugaṇanā'ca, bhikkhunīnam'ovādo cā'ti."	"Pubbakicca"	"Preliminary duty"	"International Pātimokkha"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"75"
"14611"	""	"19"	""	""	""	""	"SN36.21"	"sīvakasuttaṃ"	"pittasamuṭṭhānāni'pi ... semhasamuṭṭhānāni'pi ... vātasamuṭṭhānāni'pi … sannipātikāni'pi … <b>utupariṇāmajāni</b>'pi … visamaparihārajāni'pi … opakkamikāni'pi … kammavipākajāni'pi kho, sīvaka, idh'ekaccāni vedayitāni uppajjanti."	""	""	""	"AN10.60"	"girimānandasuttaṃ"	"iti imasmiṃ kāye vividhā ābādhā uppajjanti, seyyath'idaṃ ... pittasamuṭṭhānā ābādhā semhasamuṭṭhānā ābādhā vātasamuṭṭhānā ābādhā sannipātikā ābādhā <b>utupariṇāmajā</b> ābādhā visamaparihārajā ābādhā opakkamikā ābādhā kammavipākajā ābādhā sītaṃ uṇhaṃ jighacchā pipāsā uccāro passāvo'ti."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"14613"	""	"19"	""	""	""	""	"MN2"	"sabbāsavasuttaṃ"	"paṭisaṅkhā yoniso sen'āsanaṃ paṭisevati, yāva'd'eva sītassa paṭighātāya, uṇhassa paṭighātāya, ḍaṃsa-makasa-vāt'ātapa-sarīṃsapa-samphassānaṃ paṭighātāya, yāva'd'eva <b>utuparissaya</b>-vinodana-paṭisallān'ārām'atthaṃ"	"Cattaro parikkhāra"	"The Four Requisites"	"Reflections"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"31"
"14614"	""	"19"	""	""	""	""	"MN2.4"	"sabbāsavasuttaṃ"	"paṭisaṅkhā yoniso sen'āsanaṃ paṭisevāmi yāva'd'eva sītassa paṭighātāya uṇhassa paṭighātāya ḍaṃsamakasavāt'ātapasiriṃsapasamphassānaṃ paṭighātāya yāva'd'eva <b>utuparissayavinodanaṃ</b> paṭisallān'ārām'atthaṃ"	"Cattaro parikkhāra"	"The Four Requisites"	"Reflections"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"31"
"14620"	""	"19"	"sn56"	""	""	""	"SN56.38"	"dutiyasūriyasuttaṃ"	"andhatamaṃ tadā hoti andhakāratimisā. n'eva tāva rattindivā paññāyanti, na mās'addhamāsā paññāyanti, na <b>utusaṃvaccharā</b> paññāyanti."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"14622"	""	"16"	""	""	""	""	"PAT PK"	"dhammayuttikapubbakicca"	"evaṃ utuācikkhanaṃ. <b>utūn'īdha</b> pana sāsane hem'anta-gimha-vassānānaṃ vasena tīṇi honti."	"Pubbakicca"	"Preliminary duty"	"International Pātimokkha"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"75"
"14631"	"10"	"11"	""	""	""	""	"SNP16"	"maṅgalasuttaṃ
cūḷavaggo 4"	"bahū devā manussā ca, maṅgalāni acintayuṃ.
ākaṅkhamānā sotthānaṃ, brūhi maṅgalam'<b>uttamaṃ</b>"	"Maṅgala-sutta"	"The Highest Blessings"	"Protective Recitations"	"TH257"	"pārāpariyattheragāthā"	"aññathā lokanāthamhi, tiṭṭhante puris'<b>uttame</b>.
iriyaṃ āsi bhikkhūnaṃ, aññathā dāni dissati."	"Pārāpariya-thera-gāthā"	"From the Elder Pārāpariya"	"Verses"	"DHP103"	"sahassavaggo"	"yo sahassaṃ sahassena,
saṅgāme mānuse jine,
ekañ'ca jeyya'm'attānaṃ,
sa ve saṅgāmaji-<b>uttamo</b>,
attā have jitaṃ seyyo,
yā c'āyaṃ itarā pajā."	""	""	""	"SN34.1"	"samādhimūlakasamāpattisuttaṃ"	"evam'eva kho, bhikkhave, yv'āyaṃ jhāyī samādhismiṃ samādhikusalo ca hoti samādhismiṃ samāpattikusalo ca ayaṃ imesaṃ catunnaṃ jhāyīnaṃ aggo ca seṭṭho ca mokkho ca <b>uttamo</b> ca pavaro cā'ti."	""	""	""	"14"
"14639"	""	"19"	""	""	""	""	"DHP386"	"brāhmaṇavaggo"	"jhāyiṃ virajam'āsīnaṃ,
katakiccam'anāsavaṃ,
<b>uttam'attham</b>'anuppattaṃ,
tam'ahaṃ brūmi brāhmaṇaṃ."	""	""	""	"TH236"	"cūḷapanthakattheragāthā"	"tass'āhaṃ vacanaṃ sutvā,
vihāsiṃ sāsane rato,
samādhiṃ paṭipādesiṃ,
<b>uttam'atthassa</b> pattiyā."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"14647"	""	"19"	""	""	""	""	"SN22.57"	"sattaṭṭhānasuttaṃ"	"sattaṭṭhānakusalo, bhikkhave, bhikkhu tividh'ūpaparikkhī imasmiṃ dhammavinaye kevalī vusitavā <b>uttamapuriso</b>'ti vuccati."	""	""	""	"SN44.9"	"kutūhalasālāsuttaṃ"	"yo'pi'ssa sāvako <b>uttamapuriso</b> paramapuriso paramapattipatto tam'pi sāvakaṃ abbhatītaṃ kālaṅ'kataṃ upapattīsu byākaroti, asu amutra upapanno, asu amutra upapanno'ti."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"14649"	""	"19"	""	""	""	""	"DHP97"	"arahantavaggo"	"assaddho akataññū ca,
sandhicchedo ca yo naro,
hat'āvakāso vant'āso,
sa ve <b>uttamaporiso</b>."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"14657"	""	"11"	""	""	""	""	"MN22"	"alagaddūpamasuttaṃ"	"seyyathā'pi, bhikkhave, puriso addhānamaggappaṭipanno. so passeyya mahantaṃ udak'aṇṇavaṃ ... na c'assa nāvā santāraṇī <b>uttara</b>setu vā apārā pāraṃ gamanāya."	""	""	""	""	""	""	""	""	""	"AN10.58"	"mūlakasuttaṃ"	"samādhippamukhā sabbe dhammā, sat'ādhipateyyā sabbe dhammā, paññ'<b>uttarā</b> sabbe dhammā, vimuttisārā sabbe dhammā, amat'ogadhā sabbe dhammā, nibbānapariyosānā sabbe dhammā'ti."	""	""	""	""	""	""	""	""	""	""
"14658"	"14"	"2"	""	""	""	""	"DN23.20"	"pāyāsisuttaṃ"	"atha kho pāyāsi rājañño <b>uttaraṃ</b> māṇavaṃ āmantāpetvā etadavoca, saccaṃ kira tvaṃ, tāta <b>uttara</b>, dānaṃ datvā evaṃ anuddisasi"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"14659"	"19"	"11"	"sn22"	""	""	""	"Thai"	""	"dhammo padīpo viya tassa satthuno, yo maggapāk'āmatabhedabhinnako, lok'<b>uttaro</b> yo ca tadattha'dīpano"	"Ratanattaya-paṇāma"	"Salutation to the Triple Gem"	"Homage to the Triple Gem"	"SN22.82"	"puṇṇamasuttaṃ"	"atha kho aññataro bhikkhu uṭṭhāy'āsanā ek'aṃsaṃ <b>uttar</b>'āsaṅgaṃ karitvā yena bhagavā ten'añjaliṃ paṇāmetvā bhagavantaṃ etad'avocas"	""	""	""	"DN22.8"	"mahāsatipaṭṭhānasuttaṃ"	"sa<b>uttaraṃ</b> vā cittaṃ, sa<b>uttaraṃ</b> cittan'ti pajānāti, an<b>uttaraṃ</b> vā cittaṃ, an<b>uttaraṃ</b> cittan'ti pajānāti"	""	""	""	""	""	""	""	""	""	"6"
"14660"	""	"11"	""	""	""	""	"SN56.48"	"dutiyachiggaḷayugasuttaṃ"	"tam'enaṃ puratthimo vāto pacchimena saṃhareyya, pacchimo vāto puratthimena saṃhareyya, <b>uttaro</b> vāto dakkhiṇena saṃhareyya, dakkhiṇo vāto <b>uttarena</b> saṃhareyya."	""	""	""	"DN9.6"	"poṭṭhapādasuttaṃ"	"tam'enaṃ evaṃ vadeyyuṃ, ambho purisa, yassa tvaṃ pāsādassa ārohaṇāya nisseṇiṃ karosi, jānāsi taṃ pāsādaṃ puratthimāya vā disāya dakkhiṇāya vā disāya pacchimāya vā disāya <b>uttarāya</b> vā disāya ucco vā nīco vā majjhimo vā'ti?"	""	""	""	"MN39"	"mahāassapurasuttaṃ"	"tassa nevassa puratthimāya disāya udakassa āyamukhaṃ, na pacchimāya disāya udakassa āyamukhaṃ, na <b>uttarāya</b> disāya udakassa āyamukhaṃ, na dakkhiṇāya disāya udakassa āyamukhaṃ"	""	""	""	"MIL2.3.12"	"viññāṇalakkhaṇa pañho"	"passeyya puratthimadisato purisaṃ āgacchantaṃ, passeyya dakkhiṇadisato purisaṃ āgacchantaṃ, passeyya pacchimadisato purisaṃ āgacchantaṃ, passeyya <b>uttara</b>disato purisaṃ āgacchantaṃ."	""	""	""	""
"14661"	"50"	"9"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"DN19.8"	"mahāgovindasuttaṃ"	"ko nu kho, bho, pahoti imaṃ mahāpathaviṃ <b>uttarena</b> āyataṃ dakkhiṇena sakaṭamukhaṃ sattadhā samaṃ suvibhattaṃ vibhajitun'ti"	""	""	""	""	""	""	""	""	""	""
"14663"	""	"9"	""	"pat"	""	""	"VIN PAT NP 7"	"tatuttarisikkhāpadaṃ"	"tañ'ce aññātako gahapati vā gahapatānī vā bahūhi cīvarehi abhihaṭṭhuṃ pavāreyya, santar<b>'uttara</b>paramaṃ tena bhikkhunā tato cīvaraṃ sāditabbaṃ. tato ce uttari sādiyeyya, nissaggiyaṃ pācittiyaṃ."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"14674"	""	"3"	""	""	""	""	"MN22"	"alagaddūpamasuttaṃ"	"yaṃnūn'āhaṃ tiṇakaṭṭhasākhāpalāsaṃ saṃkaḍḍhitvā, kullaṃ bandhitvā, taṃ kullaṃ nissāya hatthehi ca pādehi ca vāyamamāno sotthinā pāraṃ <b>uttareyyan</b>'ti."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"14691"	""	"19"	""	""	""	""	"MN22"	"alagaddūpamasuttaṃ"	"seyyathā'pi, bhikkhave, puriso addhānamaggappaṭipanno. so passeyya mahantaṃ udak'aṇṇavaṃ ... na c'assa nāvā santāraṇī <b>uttarasetu</b> vā apārā pāraṃ gamanāya."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"14693"	""	"19"	""	""	""	""	"AN3.93"	"accāyikasuttaṃ"	"ajj'eva me anupādāya āsavehi cittaṃ vimuccatu sve vā <b>uttarasve</b> vā'ti"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"14706"	"8"	"19"	"sn22"	""	""	""	""	""	""	""	""	""	"VIN4.1.15"	"upajjhāya vatta kathā"	"kālass'eva vuṭṭhāya upāhanā omuñcitvā ek'aṃsaṃ <b>uttar'āsaṅgaṃ</b> karitvā dantakaṭṭhaṃ dātabbaṃ, mukh'odakaṃ dātabbaṃ, āsanaṃ paññapetabbaṃ."	""	""	""	"UD45"	"uposathasuttaṃ"	"atha kho āyasmā ānando abhikkantāya rattiyā, nikkhante paṭhame yāme, uṭṭhāy'āsanā ek'aṃsaṃ <b>uttar'āsaṅgaṃ</b> karitvā yena bhagavā ten'añjaliṃ paṇāmetvā bhagavantaṃ etadavoca"	""	""	""	""	""	""	""	""	""	""
"14712"	"2"	"11"	""	""	""	""	"AN10.48"	"pabbajitābhiṇhasuttaṃ"	"atthi nu kho me <b>uttari</b>manussadhammā alam'ariyañāṇadassanaviseso adhigato, so'haṃ pacchime kāle sabrahmacārīhi puṭṭho na maṅku bhavissāmī'ti"	"Dasadhammā pabbajita-abhiṇha-paccavekkhaṇā"	"Ten Subjects for Frequent Reflection by One Who Has Gone Forth"	"Reflections"	"AN3.27"	"jigucchitabbasuttaṃ"	"nihīyati puriso nihīnasevī,
na ca hāyetha kadāci tulyasevī,
seṭṭham'upanamaṃ udeti khippaṃ,
tasmā attano <b>uttariṃ</b> bhajethā'ti."	""	""	""	"SNP43"	"paramaṭṭhakasuttaṃ
aṭṭhakavaggo 5"	"paraman'ti diṭṭhīsu paribbasāno,
yad<b>uttari</b> kurute jantu loke,
hīnā'ti aññe tato sabbam'āha,
tasmā vivādāni avītivatto."	""	""	""	""	""	""	""	""	""	"36"
"14713"	"14"	"13"	""	"pat"	""	""	"MN91"	"brahmāyusuttaṃ"	"apalokento kho pana so bhavaṃ gotamo sabbakāyen'eva apaloketi, so na uddhaṃ ulloketi, na adho oloketi, na ca vipekkhamāno gacchati, yugamattañ'ca pekkhati, tato c'assa <b>uttari</b> anāvaṭaṃ ñāṇadassanaṃ bhavati."	""	""	""	"AN10.51"	"sacittasuttaṃ"	"tena, bhikkhave, bhikkhunā tesu'y'eva kusalesu dhammesu patiṭṭhāya <b>uttari</b> āsavānaṃ khayāya yogo karaṇīyo'ti."	""	""	""	"VIN PAT NP 7"	"tatuttari sikkhāpada"	"tañ'ce aññātako gahapati vā gahapatānī vā bahūhi cīvarehi abhihaṭṭhuṃ pavāreyya, santar'uttaraparamaṃ tena bhikkhunā tato cīvaraṃ sāditabbaṃ. tato ce <b>uttari</b> sādiyeyya, nissaggiyaṃ pācittiyaṃ."	""	""	""	"VIN PAT PC 73"	"mohana sikkhāpada"	"na ca tassa bhikkhuno aññāṇakena mutti atthi, yañ'ca tattha āpattiṃ āpanno tañ'ca yathādhammo kāretabbo, <b>uttari</b> c'assa moho āropetabbo"	""	""	""	""
"14716"	"39"	"11"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SN10.7"	"punabbasusuttaṃ"	"tuṇhī <b>uttarike</b> hohi, tuṇhī hohi punabbasu.
yāv'āhaṃ buddhaseṭṭhassa, dhammaṃ sossāmi satthuno."	""	""	""	""	""	""	""	""	""	""
"14717"	""	"19"	""	""	""	""	"DN10.4"	"subhasuttaṃ"	"n'atthi c'ev'ettha <b>uttarikaraṇīyan</b>'ti"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"14718"	"6"	"19"	""	"pat"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"VIN PAT PC 7"	"dhammadesanāsikkhāpadaṃ"	"yo pana bhikkhu mātugāmassa <b>uttarichappañcavācāhi</b> dhammaṃ deseyya aññatra viññunā purisaviggahena, pācittiyaṃ."	""	""	""	""	""	""	""	""	""	""
"14719"	""	"17"	"sn46"	""	""	""	"SN46.53"	"aggisuttaṃ"	"evaṃ puṭṭhā, bhikkhave, aññatitthiyā paribbājakā na c'eva sampāyissanti, <b>uttariñ'ca</b> vighātaṃ āpajjissanti. taṃ kissa hetu? yathā taṃ, bhikkhave, avisayasmiṃ."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"14721"	""	"11"	""	""	""	""	"AN4.24"	"kāḷakārāmasuttaṃ"	"iti kho, bhikkhave, tathāgato diṭṭhasutamutaviññātabbesu dhammesu tādī'y'eva tādī. tamhā ca pana tādimhā añño tādī <b>uttaritaro</b> vā paṇītataro vā n'atthī'ti vadāmī'ti."	""	""	""	"AN10.22"	"adhivuttipadasuttaṃ"	"etadānuttariyaṃ, ānanda, ñāṇānaṃ yadidaṃ tattha tattha yathābhūtañāṇaṃ. etasmā c'āhaṃ, ānanda, ñāṇā aññaṃ ñāṇaṃ <b>uttaritaraṃ</b> vā paṇītataraṃ vā n'atthī'ti vadāmi"	""	""	""	"DN1.6"	"brahmajālasuttaṃ"	"tato ca <b>uttaritaraṃ</b> pajānāti, tañ'ca pajānanaṃ na parāmasati, aparāmasato c'assa paccattaññ'eva nibbuti viditā."	""	""	""	""	""	""	""	""	""	""
"14724"	""	"19"	""	"pat"	""	""	"VIN PAT PC 5"	"paṭhamasahaseyyasikkhāpadaṃ"	"yo pana bhikkhu anupasampannena <b>uttaridirattatirattaṃ</b> sahaseyyaṃ kappeyya, pācittiyaṃ."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"14727"	"2"	"19"	""	"pat"	""	""	"AN10.48"	"pabbajitābhiṇhasuttaṃ"	"atthi nu kho me <b>uttarimanussadhammā</b> alam'ariyañāṇadassanaviseso adhigato, so'haṃ pacchime kāle sabrahmacārīhi puṭṭho na maṅku bhavissāmī'ti"	"Dasadhammā pabbajita-abhiṇha-paccavekkhaṇā"	"Ten Subjects for Frequent Reflection by One Who Has Gone Forth"	"Reflections"	"VIN PAT PA 4"	"uttarimanussadhamma sikkhāpada"	"yo pana bhikkhu, anabhijānaṃ, <b>uttarimanussadhammaṃ</b> att'ūpanāyikaṃ alam'ariyañāṇadassanaṃ samudācareyya, iti jānāmi, iti passāmī'ti"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"36"
"14736"	""	"13"	"mn107"	"pat"	""	""	"MN107"	"gaṇakamoggallānasuttaṃ"	"tam'enaṃ tathāgato <b>uttariṃ</b> vineti, ehi tvaṃ, bhikkhu, indriyesu guttadvāro hohi, cakkhunā rūpaṃ disvā mā nimittaggāhī hohi m'ānubyañjanaggāhī"	"Anupubba-sikkhā"	"The Gradual Training"	"Teachings"	"VIN PAT"	"āvasathapiṇḍasikkhāpadaṃ"	"eko āvasathapiṇḍo bhuñjitabbo. tato ce <b>uttariṃ</b> bhuñjeyya, pācittiyan'ti."	""	""	""	""	""	""	""	""	""	"MN39"	"mahāassapurasuttaṃ"	"ārocayāmi vo, bhikkhave, paṭivedayāmi vo, bhikkhave, mā vo sāmaññ'atthikānaṃ sataṃ sāmaññ'attho parihāyi, sati <b>uttariṃ</b> karaṇīye."	""	""	""	"19"
"14737"	"5"	"13"	"mn107"	""	""	""	""	""	""	""	""	""	"MN107"	"gaṇakamoggallānasuttaṃ"	"seyyathā'pi brāhmaṇa dakkho assadammako bhaddaṃ ass'ājānīyaṃ labhitvā paṭhamen'eva mukh'ādhāne kāraṇaṃ kāreti atha <b>uttariṃ</b> kāraṇaṃ kāreti"	""	""	""	"MN43"	"mahāvedallasuttaṃ"	"sādh'āvuso'ti kho āyasmā mahākoṭṭhiko āyasmato sāriputtassa bhāsitaṃ abhinanditvā anumoditvā āyasmantaṃ sāriputtaṃ <b>uttariṃ</b> pañhaṃ apucchi."	""	""	""	""	""	""	""	""	""	""
"14738"	""	"19"	""	""	""	""	"SN12.63"	"puttamaṃsūpamasuttaṃ"	"phasse, bhikkhave, āhāre pariññāte tisso vedanā pariññātā honti. tīsu vedanāsu pariññātāsu ariyasāvakassa n'atthi kiñci <b>uttariṃkaraṇīyan</b>'ti vadāmi"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"14751"	""	"11"	"sn22"	""	""	""	"SN12.22"	"dutiyadasabalasuttaṃ"	"evaṃ svākkhāto, bhikkhave, mayā dhammo <b>uttāno</b> vivaṭo pakāsito chinnapilotiko."	"Dhamma-pahaṃsāna"	"Striving According to the Dhamma"	"Teachings"	""	""	""	""	""	""	"SN35.234"	"udāyīsuttaṃ"	"sakkā evam'eva viññāṇaṃ pidaṃ ācikkhituṃ desetuṃ paññapetuṃ paṭṭhapetuṃ vivarituṃ vibhajituṃ <b>uttānī</b>kātuṃ, iti'p'idaṃ viññāṇaṃ anattā'ti?"	""	""	""	""	""	""	""	""	""	"29"
"14752"	""	"11"	""	""	""	""	"MN48"	"kosambiyasuttaṃ"	"seyyathā'pi, bhikkhave, daharo kumāro mando <b>uttāna</b>seyyako hatthena vā pādena vā aṅgāraṃ akkamitvā khippam'eva paṭisaṃharati."	""	""	""	"TH257"	"pārāpariyattheragāthā"	"udar'āvadehakaṃ bhutvā, sayant'<b>uttāna</b>seyyakā.
kathaṃ vattenti paṭibuddhā, yā kathā satthugarahitā."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"14769"	""	"19"	""	""	""	""	"MN48"	"kosambiyasuttaṃ"	"seyyathā'pi, bhikkhave, daharo kumāro mando <b>uttānaseyyako</b> hatthena vā pādena vā aṅgāraṃ akkamitvā khippam'eva paṭisaṃharati."	""	""	""	"MN58"	"abhayarājakumārasuttaṃ"	"tena kho pana samayena daharo kumāro mando <b>uttānaseyyako</b> abhayassa rājakumārassa aṅke nisinno hoti."	""	""	""	"TH257"	"pārāpariyattheragāthā"	"udar'āvadehakaṃ bhutvā, sayant'<b>uttānaseyyakā</b>.
kathaṃ vattenti paṭibuddhā, yā kathā satthugarahitā."	""	""	""	""	""	""	""	""	""	""
"14774"	""	"5"	"sn56"	""	""	""	"SN56.38"	"dutiyasūriyasuttaṃ"	"andhatamaṃ tadā hoti andhakāratimisā. n'eva tāva catunnaṃ ariyasaccānaṃ ācikkhaṇā hoti desanā paññāpanā paṭṭhapanā vivaraṇā vibhajanā <b>uttānī</b>kammaṃ."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"14775"	""	""	""	""	""	""	"AN8.2"	"paññāsuttaṃ"	"tassa te āyasmanto avivaṭañ'c'eva vivaranti, anuttānīkatañ'ca <b>uttānī karonti</b>, anekavihitesu ca kaṅkhāṭhāniyesu dhammesu kaṅkhaṃ paṭivinodenti."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"14778"	""	"19"	""	""	""	""	"MN61"	"ambalaṭṭhika rāhulovādasuttaṃ"	"evarūpaṃ te, rāhula, kāyakammaṃ satthari vā viññūsu vā sabrahmacārīsu desetabbaṃ, vivaritabbaṃ, uttānīkātabbaṃ, desetvā vivaritvā <b>uttānīkatvā</b> āyatiṃ saṃvaraṃ āpajjitabbaṃ."	""	""	""	"MN48"	"kosambiyasuttaṃ"	"dhammatā esā, bhikkhave, diṭṭhisampannassa puggalassa, kiñ'cā'pi tathārūpiṃ āpattiṃ āpajjati, yathārūpāya āpattiyā vuṭṭhānaṃ paññāyati, atha kho naṃ khippam'eva satthari vā viññūsu vā sabrahmacārīsu deseti vivarati uttānīkaroti, desetvā vivaritvā <b>uttānīkatvā</b> āyatiṃ saṃvaraṃ āpajjati."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
