"id"	"sbs_class"	"sbs_meaning"	"sbs_notes"	"sbs_source_1"	"sbs_sutta_1"	"sbs_example_1"	"sbs_chant_pali_1"	"sbs_chant_eng_1"	"sbs_chapter_1"	"sbs_source_2"	"sbs_sutta_2"	"sbs_example_2"	"sbs_chant_pali_2"	"sbs_chant_eng_2"	"sbs_chapter_2"	"dhp_source"	"dhp_sutta"	"dhp_example"	"pat_source"	"pat_sutta"	"pat_example"	"vib_source"	"vib_sutta"	"vib_example"	"class_source"	"class_sutta"	"class_example"	"class_example_translation"	"class_extra"	"class_anki"	"discourses_source"	"discourses_sutta"	"discourses_example"	"extra_source"	"extra_sutta"	"extra_example"	"sbs_index"
"32501"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"32521"	"19"	""	""	"VIBH6.1"	"paṭiccasamuppādavibhaṅgo"	"ñātibyasanena vā phuṭṭhassa, bhogabyasanena vā phuṭṭhassa, rogabyasanena vā phuṭṭhassa, sīlabyasanena vā phuṭṭhassa, <b>diṭṭhibyasanena</b> vā phuṭṭhassa"	"Paṭicca-samuppāda"	"Dependent Origination"	"Teachings"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"24"
"32540"	"19"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SN56.49"	"paṭhamasinerupabbatarājasuttaṃ"	"evam'eva kho, bhikkhave, ariyasāvakassa <b>diṭṭhisampannassa</b> puggalassa abhisametāvino etadeva bahutaraṃ dukkhaṃ yadidaṃ parikkhīṇaṃ pariyādinnaṃ, appamattakaṃ avasiṭṭhaṃ."	"MN48"	"kosambiyasuttaṃ"	"seyyathā'pi gāvī taruṇavacchā thambañ'ca ālumpati vacchakañ'ca apacinati. evam'eva kho dhammatā esā <b>diṭṭhisampannassa</b> puggalassa"	""
"32546"	"19"	""	""	"MN48"	"kosambiyasuttaṃ"	"bhikkhu y'āyaṃ diṭṭhi ariyā niyyānikā niyyāti takkarassa sammā dukkhakkhayāya tathārūpāya diṭṭhiyā <b>diṭṭhisāmaññagato</b> viharati sabrahmacārīhi āvi c'eva raho ca."	"Cha-sāraṇīya-dhammā"	"Principles of Cordiality"	"Teachings"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"27"
"32553"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"VIN2.5.8.6"	"amūlakasikkhāpadaṃ"	"ācāravipattiyā vā <b>diṭṭhivipattiyā</b> vā anuddhaṃseti, āpatti dukkaṭassa. anupasampannaṃ anuddhaṃseti, āpatti dukkaṭassa."	""	""	""	""	""	""	""	""	""	""	""	""	""
"32555"	"19"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"AN4.49"	"vipallāsasuttaṃ"	"anattani, bhikkhave, attāti saññāvipallāso cittavipallāso <b>diṭṭhivipallāso</b>."	"""In regard to what is not (a) self, ""(This is) self"". (is) the distortion of perception, the distortion of thought, the distortion of view."	""	"18"	""	""	""	"AN4.49"	"vipallāsasuttaṃ"	"anicce, bhikkhave, niccan'ti saññāvipallāso cittavipallāso <b>diṭṭhivipallāso</b>. dukkhe, bhikkhave, sukhan'ti saññāvipallāso cittavipallāso <b>diṭṭhivipallāso</b>."	""
"32557"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"32563"	"5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SNP42"	"suddhaṭṭhakasuttaṃ
aṭṭhakavaggo 4"	"diṭṭhena ce suddhi narassa hoti, ñāṇena vā so pajahāti dukkhaṃ, aññena so sujjhati sopadhīko, <b>diṭṭhī</b> hi naṃ pāva tathā vadānaṃ."	"If through the seeing there is a man’s purity, or through knowledge he abandons suffering, then he is purified by another, being with attachments; the one with view revealed him as one who asserts thus."	"extra"	"27"	""	""	""	"SNP42"	"suddhaṭṭhakasuttaṃ
aṭṭhakavaggo 4"	"diṭṭhena ce suddhi narassa hoti,
ñāṇena vā so pajahāti dukkhaṃ,
aññena so sujjhati sopadhīko,
<b>diṭṭhī</b> hi naṃ pāva tathā vadānaṃ."	""
"32565"	"19"	""	""	"VIBH6.1"	"paṭiccasamuppādavibhaṅgo"	"tattha katamaṃ taṇhāpaccayā upādānaṃ? kām'upādānaṃ, <b>diṭṭh'upādānaṃ</b>, sīlabbat'upādānaṃ, attavād'upādānaṃ. idaṃ vuccati taṇhāpaccayā upādānaṃ."	"Paṭicca-samuppāda"	"Dependent Origination"	"Teachings"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"MN11"	"cūḷasīhanādasuttaṃ"	"te na sammā sabb'upādānapariññaṃ paññapenti, kām'upādānassa pariññaṃ paññapenti, na <b>diṭṭh'upādānassa</b> pariññaṃ paññapenti, na sīlabbat'upādānassa pariññaṃ paññapenti, na attavād'upādānassa pariññaṃ paññapenti."	"24"
"32568"	"16"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SN22.63"	"upādiyamānasuttaṃ"	"yass'atthāya kulaputtā samma'd'eva agārasmā anagāriyaṃ pabbajanti tad'anuttaraṃ brahmacariyapariyosānaṃ <b>diṭṭh'eva dhamme</b> sayaṃ abhiññā sacchikatvā upasampajja viharati."	"He dwells having reached even in this life that unsurpassed perfection of the holy life, for the purpose of which sons of respectable families rightly go forth from home to homelessness, having experienced it for himself by direct knowledge."	""	"16"	"SN35.118"	"sakkapañhasuttaṃ"	"ko nu kho, bhante, hetu, ko paccayo yena m'idh'ekacce sattā <b>diṭṭh'eva dhamme</b> no parinibbāyanti? ko pana, bhante, hetu, ko paccayo yena m'idh'ekacce sattā <b>diṭṭh'eva dhamme</b> parinibbāyantīti?"	"AN6.61"	"majjhesuttaṃ"	"ettāvatā kho, āvuso, bhikkhu abhiññeyyaṃ abhijānāti, pariññeyyaṃ parijānāti, abhiññeyyaṃ abhijānanto pariññeyyaṃ parijānanto <b>diṭṭh'eva dhamme</b> dukkhass'antakaro hotī'ti."	""
