id,pali,selected_pali_word,word in context,pos,meaning,sutta_number,sutta_name,class_example,match status
39984,paññapeti 1,,,pr,teaches; preaches; proclaims,sn22.94,pupphasuttaṃ,abhisambujjhitvā abhisametvā ācikkhati deseti <b>paññapeti</b> paṭṭhapeti vivarati vibhajati uttānīkaroti.,Similar
45576,pāpa 1,,,adj,evil; criminal; wrong; bad; vicious,sn35.241,paṭhamadārukkhandhopamasuttaṃ,"idha, bhikkhu, ekacco dussīlo hoti <b>pāpa</b>dhammo asucisaṅkassarasamācāro paṭicchannakammanto assamaṇo samaṇapaṭiñño abrahmacārī brahmacāripaṭiñño antopūti avassuto kasambujāto.",Similar
43350,paricita 1,paricitā,paricitā,pp,practised; rehearsed; consolidated; familiarized,sn35.247,chappāṇakopamasuttaṃ,"tasmātiha, bhikkhave, evaṃ sikkhitabbaṃ: kāyagatā sati no bhāvitā bhavissati bahulīkatā yānīkatā vatthukatā anuṭṭhitā <b>paricitā</b> susamāraddhāti.",Similar
41988,patha 1,pathe,catumahāpathe,masc,path; road; way,sn22.95,pheṇapiṇḍūpamasuttaṃ,"seyyathāpi, bhikkhave, māyākāro vā māyākārantevāsī vā catumahā<b>pathe</b> māyaṃ vidaṃseyya.",Similar
47001,purima 1,purimaṃ,purimaṃ,adj,earlier; past; former; previous,sn56.49,paṭhamasinerupabbatarājasuttaṃ,"saṅkhampi na upeti, upanidhampi na upeti, kalabhāgampi na upeti, <b>purimaṃ</b> dukkhakkhandhaṃ parikkhīṇaṃ pariyādinnaṃ upanidhāya yadidaṃ sattakkhattuparamatā, yo idaṃ dukkhanti yathābhūtaṃ pajānāti, ayaṃ dukkhasamudayoti yathābhūtaṃ pajānāti, ayaṃ dukkhanirodhoti yathābhūtaṃ pajānāti, ayaṃ dukkhanirodhagāminī paṭipadāti yathābhūtaṃ pajānāti.",Similar
47186,pūti 1,pūti,antopūti,adj,fermented; foul-smelling; fetid; stinking; rotten; putrid,sn35.241,paṭhamadārukkhandhopamasuttaṃ,"sace so, bhikkhave, dārukkhandho na orimaṃ tīraṃ upagacchati, na pārimaṃ tīraṃ upagacchati, na majjhe saṃsīdissati, na thale ussīdissati, na manussaggāho gahessati, na amanussaggāho gahessati, na āvaṭṭaggāho gahessati, na anto<b>pūti</b> bhavissati, evaṃ hi so, bhikkhave, dārukkhandho samuddaninno bhavissati samuddapoṇo samuddapabbhāro.",Similar
54764,rahada,rahade,udakarahade,masc,deep pool; lake,sn35.230,bāḷisikopamasuttaṃ,"seyyathāpi, bhikkhave, bāḷisiko āmisagatabaḷisaṃ gambhīre udaka<b>rahade</b> pakkhipeyya.",Similar
57938,sadattha 1.1,sadatthā,anuppattasadatthā,masc,highest good; true welfare; spiritual health,mn107,gaṇakamoggallānasuttaṃ,"ye pana te bhikkhū arahanto khīṇāsavā vusitavanto katakaraṇīyā ohitabhārā anuppatta<b>sadatthā</b> parikkhīṇabhavasaṃyojanā sammadaññā vimuttā tesaṃ ime dhammā diṭṭhadhammasukhavihārāya ceva saṃvattanti, satisampajaññāya cāti.",Similar
60737,sammadeva 2,sammadeva,sammadeva,sandhi,rightly; correctly; truly,sn22.63,upādiyamānasuttaṃ,"atha kho so bhikkhu eko vūpakaṭṭho appamatto ātāpī pahitatto viharanto nacirasseva, yassatthāya kulaputtā <b>sammadeva</b> agārasmā anagāriyaṃ pabbajanti tadanuttaraṃ, brahmacariyapariyosānaṃ diṭṭheva dhamme sayaṃ abhiññā sacchikatvā upasampajja viharati.",Similar
60293,sampanna 3,sampanno,ācāragocarasampanno,pp,endowed (with); possessing; full (of); having; with lots (of) who embodies,mn107,gaṇakamoggallānasuttaṃ,"ehi tvaṃ, bhikkhu, sīlavā hohi, pātimokkhasaṃvarasaṃvuto viharāhi ācāragocara<b>sampanno</b> aṇumattesu vajjesu bhayadassāvī, samādāya sikkhassu sikkhāpadesūti.",Similar
