id,pali,selected_pali_word,sutta_number,sutta_name,class_example
59824,samāhita 1,samāhitā,sn47.4,sālasuttaṃ,"bhikkhave, bhikkhu kāye kāy'ānupassino viharatha ātāpino sampajānā ekodibhūtā vippasannacittā <b>samāhitā</b> ek'aggacittā, kāyassa yathābhūtaṃ ñāṇāya"
69552,vivarati 1,vivarati,sn12.20,paccayasuttaṃ,abhisambujjhitvā abhisametvā ācikkhati deseti paññāpeti paṭṭhapeti vivarati vibhajati uttānīkaroti.
1546,aññathā 1,aññathā,sn35.93,dutiyadvayasuttaṃ,cakkhu aniccaṃ vipariṇāmi <b>aññathā</b>bhāvi.
15683,upadhi 1,upadhi,sn12.66,sammasasuttaṃ," so sammasamāno evaṃ jānāti, <b>upadhi</b> taṇhānidāno taṇhāsamudayo taṇhājātiko taṇhāpabhavo, taṇhāya sati <b>upadhi</b> hoti, taṇhāya asati upadhi na hotī'ti."
24950,gilāna 1,gilānā,sn47.9,gilānasuttaṃ,atha kho bhagavā gilānā vuṭṭhito aciravuṭṭhito gelaññā vihārā nikkhamitvā vihārapacchāyāyaṃ paññatte āsane nisīdi.
32680,divasa 1,divasaṃ,mn107,gaṇakamoggallānasuttaṃ,"divasaṃ caṅkamena nisajjāya āvaraṇīyehi dhammehi cittaṃ parisodhehi,"
37192,nidāna 1,nidānaṃ,sn12.51,parivīmaṃsanasuttaṃ,"yaṃ kho idaṃ anekavidhaṃ nānappakārakaṃ dukkhaṃ loke uppajjati jarāmaraṇaṃ, idaṃ nu kho dukkhaṃ kiṃ<b>nidānaṃ</b> kiṃsamudayaṃ kiṃjātikaṃ kiṃpabhavaṃ?"
46299,pivanta,pivato,sn12.66,sammasasuttaṃ,"pivato hi kho taṃ chādessati vaṇṇena'pi gandhena'pi rasena'pi, pivitvā ca pana tatonidānaṃ maraṇaṃ vā nigacchasi maraṇamattaṃ vā dukkhan'ti."
63559,sukhāya,sukhāya,sn22.33,natumhākaṃsuttaṃ,taṃ vo pahīnaṃ hitāya <b>sukhāya</b> bhavissati.
1507,aññatara 1,aññataro,sn35.53,avijjāpahānasuttaṃ,atha kho <b>aññataro</b> bhikkhu yena bhagavā ten'upasaṅkami.
